tlp_id,seq_num,payload_bytes,tlp_bytes,rc_delay_ns,link_delay_ns,endpoint_delay_ns,replay_delay_ns,total_link_latency_ns
193,193,4,20,20.0,150.0,50.0,0.0,220.0
194,194,4,20,20.0,150.0,50.0,0.0,220.0
195,195,4,20,20.0,150.0,50.0,0.0,220.0
196,196,4,20,20.0,150.0,50.0,0.0,220.0
197,197,4,20,20.0,150.0,50.0,0.0,220.0
198,198,4,20,20.0,150.0,50.0,0.0,220.0
199,199,4,20,20.0,150.0,50.0,0.0,220.0
200,200,4,20,20.0,150.0,50.0,0.0,220.0
201,201,4,20,20.0,150.0,50.0,0.0,220.0
202,202,4,20,20.0,150.0,50.0,0.0,220.0
203,203,4,20,20.0,150.0,50.0,0.0,220.0
204,204,4,20,20.0,150.0,50.0,0.0,220.0
205,205,4,20,20.0,150.0,50.0,0.0,220.0
206,206,4,20,20.0,150.0,50.0,0.0,220.0
207,207,4,20,20.0,150.0,50.0,0.0,220.0
208,208,4,20,20.0,150.0,50.0,0.0,220.0
209,209,4,20,20.0,150.0,50.0,0.0,220.0
210,210,4,20,20.0,150.0,50.0,0.0,220.0
211,211,4,20,20.0,150.0,50.0,0.0,220.0
212,212,4,20,20.0,150.0,50.0,0.0,220.0
213,213,4,20,20.0,150.0,50.0,0.0,220.0
214,214,4,20,20.0,150.0,50.0,0.0,220.0
215,215,4,20,20.0,150.0,50.0,0.0,220.0
216,216,4,20,20.0,150.0,50.0,0.0,220.0
217,217,4,20,20.0,150.0,50.0,0.0,220.0
218,218,4,20,20.0,150.0,50.0,0.0,220.0
219,219,4,20,20.0,150.0,50.0,0.0,220.0
220,220,4,20,20.0,150.0,50.0,0.0,220.0
221,221,4,20,20.0,150.0,50.0,0.0,220.0
222,222,4,20,20.0,150.0,50.0,0.0,220.0
223,223,4,20,20.0,150.0,50.0,0.0,220.0
224,224,4,20,20.0,150.0,50.0,0.0,220.0
225,225,4,20,20.0,150.0,50.0,0.0,220.0
226,226,4,20,20.0,150.0,50.0,0.0,220.0
227,227,4,20,20.0,150.0,50.0,0.0,220.0
228,228,4,20,20.0,150.0,50.0,0.0,220.0
229,229,4,20,20.0,150.0,50.0,0.0,220.0
230,230,4,20,20.0,150.0,50.0,0.0,220.0
231,231,4,20,20.0,150.0,50.0,0.0,220.0
232,232,4,20,20.0,150.0,50.0,0.0,220.0
233,233,4,20,20.0,150.0,50.0,0.0,220.0
234,234,4,20,20.0,150.0,50.0,0.0,220.0
235,235,4,20,20.0,150.0,50.0,0.0,220.0
236,236,4,20,20.0,150.0,50.0,0.0,220.0
237,237,4,20,20.0,150.0,50.0,0.0,220.0
238,238,4,20,20.0,150.0,50.0,0.0,220.0
239,239,4,20,20.0,150.0,50.0,0.0,220.0
240,240,4,20,20.0,150.0,50.0,0.0,220.0
241,241,4,20,20.0,150.0,50.0,0.0,220.0
242,242,4,20,20.0,150.0,50.0,0.0,220.0
243,243,4,20,20.0,150.0,50.0,0.0,220.0
244,244,4,20,20.0,150.0,50.0,0.0,220.0
245,245,4,20,20.0,150.0,50.0,0.0,220.0
246,246,4,20,20.0,150.0,50.0,0.0,220.0
247,247,4,20,20.0,150.0,50.0,0.0,220.0
248,248,4,20,20.0,150.0,50.0,0.0,220.0
249,249,4,20,20.0,150.0,50.0,0.0,220.0
250,250,4,20,20.0,150.0,50.0,0.0,220.0
251,251,4,20,20.0,150.0,50.0,0.0,220.0
252,252,4,20,20.0,150.0,50.0,0.0,220.0
253,253,4,20,20.0,150.0,50.0,0.0,220.0
254,254,4,20,20.0,150.0,50.0,0.0,220.0
255,255,4,20,20.0,150.0,50.0,0.0,220.0
256,256,4,20,20.0,150.0,50.0,0.0,220.0
257,257,4,20,20.0,150.0,50.0,0.0,220.0
258,258,4,20,20.0,150.0,50.0,0.0,220.0
259,259,4,20,20.0,150.0,50.0,0.0,220.0
260,260,4,20,20.0,150.0,50.0,0.0,220.0
261,261,4,20,20.0,150.0,50.0,0.0,220.0
262,262,4,20,20.0,150.0,50.0,0.0,220.0
